variable_name,variable_label,coded_values_from_label,questionnaire_file,questionnaire_snippet
G8B,天/周  →    G8b时间：,,,
G8D,分钟/天 →G8dd从,,,
G8C,岁开始接触 →    G8cc接触多少年？,,,
G8IA,有    1    →   G8Ia频率：,,,
G8IB,天/周  →   G8Ib时间：,,,
G8ID,分钟/天 →G8Idd从,,,
G8IC,岁开始接触 →  G8Icc接触多少年？,,,
G9IA,有    1    →   G9Ia频率：,,,
G9IB,天/周  →   G9Ib时间：,,,
G9ID,分钟/天 →G9Idd从,,,
G9IC,岁开始接触 →  G9Icc接触多少年？,,,
G9FA,有    1    →  G9Fa频率：,,,
G9FB,天/周 →   G9Fb时间：,,,
G9FD,分钟/天 →G9Fdd从,,,
G9FC,岁开始接触  →  G9Fcc接触多少年？,,,
G14GO,G14g.G14go其他,,,
G14G,G14G,,,
G19A,乌龙茶(如铁观音)   3     G19a其它（请注明）,,,
G26E,白参                a    西洋参    c    G26e其它(请注明)e,,,
H1A2,H1A2   2代码,,,
H6A,H6A    您从事的工作体力强度属于：代码：,,,
H1B2,H1B2   2代码,,,
H6B,H6B    您从事的工作体力强度属于：代码：,,,
H1C2,H1C2   2代码,,,
H6C,H6C    您从事的工作体力强度属于：代码：,,,
H1D2,H1D2   2代码,,,
H6D,H6D    您从事的工作体力强度属于：代码：,,,
H1E2,H1E2   2代码,,,
H6E,H6E    您从事的工作体力强度属于：代码：,,,
I2A1,I2A1代码,,,
I2A2,I2A2代码,,,
I2A3,I2A3代码,,,
I2A4,I2A4代码,,,
K17UNIT,K17UNIT,,,
K18UNIT,K18UNIT,,,
K19UNIT,K19UNIT,,,
K22B,K22B,,,
K23A1,K23a1.T,,,
K23B1,K23b1.N,,,
K23C1,K23c1.M,,,
Menopause,绝经状态：1=未绝经；2=已绝经；9=不详,1=未绝经 | 2=已绝经 | 9=不详,,
AgeMeno,绝经年龄：96=还没有绝经；99=已经绝经，但绝经年龄不详,96=还没有绝经 | 99=已经绝经,,
AGEMENO_GROUP,绝经年龄分组;1≤45；2=46~50；3≥51；9=不详,2=46~50 | 9=不详,,
education,教育程度：1=未受过正规教育；2=小学；3=初中；4=高中中专；5=大专；6=大学及以上；99=不详,1=未受过正规教育 | 2=小学 | 3=初中 | 4=高中中专 | 5=大专 | 6=大学及以上 | 99=不详,,
EDUCATION_GROUP,教育程度分组：1=初中及以下；2=中专或高中；3=大专及以上；9=不详,1=初中及以下 | 2=中专或高中 | 3=大专及以上 | 9=不详,,
MENARCHE_GROUP,初潮年龄分组：1≤12；2＞12；9=不详,9=不详,,
MARITALSTATUS,婚姻状态：1=未婚；2=已婚或同居；3=离异、丧偶或分居；9=不详,1=未婚 | 2=已婚或同居 | 3=离异、丧偶或分居 | 9=不详,,
BMI_GROUP,BMI:1:<23; 2:23~; 3:25~ ; 9=不详,1=<23 | 2=23~ | 3=25~ | 9=不详,,
PARITY,活产数：1=0；2≥1；9=不详,1=0 | 9=不详,,
BREASTFEEDING,哺乳史:0=无；1=有；9=不详,0=无 | 1=有 | 9=不详,,
BCHISTORY,乳腺癌家族史：0=无；1=有；9=不详,0=无 | 1=有 | 9=不详,,
CLASSIFICATION,classification：1=恶性；2=良性；3=交界性叶状肿瘤；4=非乳腺癌(正常或其他疾病)；5=原位癌；6=不详/不确定；7=因亲属关系而剔除；8=因患有其他癌症而剔除；99=男性乳腺癌,1=恶性 | 2=良性 | 3=交界性叶状肿瘤 | 4=非乳腺癌 | 5=原位癌 | 6=不详/不确定 | 7=因亲属关系而剔除 | 8=因患有其他癌症而剔除 | 99=男性乳腺癌,,
reclass,08年-12年病例细分类：1=病例，2=良性，3=正常;4=因亲属关系而剔除；5=因患有其他癌症而剔除；6=从良性病例转换为对照;7=交叉性乳腺肿瘤;8=原位癌；9=正常但非对照；99=不详,1=病例 | 2=良性 | 3=正常 | 4=因亲属关系而剔除 | 5=因患有其他癌症而剔除 | 6=从良性病例转换为对照 | 7=交叉性乳腺肿瘤 | 8=原位癌 | 9=正常但非对照 | 99=不详,,
