"outcome","model_id","n","nevent","loglik_null","loglik_fit","aic","concordance","concordance_se","cause_code","cause_level","n_valid_eventcoding","n_events_target"
"cause_specific_icd3_I10","CS_ICD3_I10_M3_ic5",5076,6,-50.801634409467,-24.1065593593408,116.213118718682,0.991033274956217,0.00654633494438331,"I10","icd3",6542,7
"cause_specific_icd3_I11","CS_ICD3_I11_M3_ic5",5076,9,-75.6719297889711,-52.245197096711,166.490394193422,0.970406141654284,0.0163725911578322,"I11","icd3",6542,13
"cause_specific_icd3_I21","CS_ICD3_I21_M3_ic5",5076,77,-645.089190896257,-556.242786204598,1176.4855724092,0.863937139321024,0.0195473158467294,"I21","icd3",6542,104
"cause_specific_icd3_I24","CS_ICD3_I24_M3_ic5",5076,3,-22.8112361013297,-0.000100636255638165,68.0002012725113,1,0,"I24","icd3",6542,6
"cause_specific_icd3_I25","CS_ICD3_I25_M3_ic5",5076,75,-632.250234243096,-528.550585303967,1121.10117060793,0.90001366052718,0.0161206026050534,"I25","icd3",6542,92
"cause_specific_icd3_I46","CS_ICD3_I46_M3_ic5",5076,6,-50.7454377144471,-30.5180763724107,129.036152744821,0.986134201124828,0.00572159756853808,"I46","icd3",6542,7
"cause_specific_icd3_I60","CS_ICD3_I60_M3_ic5",5076,5,-42.1490789306273,-29.0833201267382,126.166640253476,0.977200401063691,0.00620488686546441,"I60","icd3",6542,5
"cause_specific_icd3_I61","CS_ICD3_I61_M3_ic5",5076,21,-177.656217010042,-147.010622930782,358.021245861564,0.887823904695673,0.0330561033395015,"I61","icd3",6542,35
"cause_specific_icd3_I63","CS_ICD3_I63_M3_ic5",5076,43,-360.530813987695,-292.818131459209,649.636262918418,0.912986433786923,0.0175901286429605,"I63","icd3",6542,52
"cause_specific_icd3_I64","CS_ICD3_I64_M3_ic5",5076,11,-93.0309153009727,-62.1898020927477,192.379604185495,0.965671526652781,0.015598033528465,"I64","icd3",6542,15
"cause_specific_icd3_I67","CS_ICD3_I67_M3_ic5",5076,3,-25.2860342051504,-7.82480743393193,83.6496148678639,0.998546617251653,0.000831310615917774,"I67","icd3",6542,5
"cause_specific_icd3_I69","CS_ICD3_I69_M3_ic5",5076,54,-453.575490744891,-372.263509494756,808.527018989513,0.91679467911086,0.0127927132716131,"I69","icd3",6542,63
"cause_specific_icd3_I71","CS_ICD3_I71_M3_ic5",5076,5,-42.2761431718473,-22.7272835584993,101.454567116999,0.992603298758715,0.00347017746420932,"I71","icd3",6542,6
"cause_specific_icd3_J15","CS_ICD3_J15_M3_ic5",5076,6,-50.4416012852752,-32.0643103195572,132.128620639114,0.962381979035016,0.0261373919107938,"J15","icd3",6542,9
"cause_specific_icd3_J18","CS_ICD3_J18_M3_ic5",5076,57,-476.173848610242,-400.508355040892,865.016710081784,0.887442917821605,0.0213608075300803,"J18","icd3",6542,78
"cause_specific_icd3_J44","CS_ICD3_J44_M3_ic5",5076,31,-261.46433024603,-189.733297925908,443.466595851815,0.939338351129004,0.0239444073437811,"J44","icd3",6542,39
"cause_specific_icd3_J98","CS_ICD3_J98_M3_ic5",5076,7,-59.354671052237,-36.6465655351097,141.293131070219,0.978313753411653,0.0101938679421473,"J98","icd3",6542,10
"cause_specific_icd3_K74","CS_ICD3_K74_M3_ic5",5076,11,-93.2692443100097,-77.3362245598046,218.672449119609,0.899229781771502,0.0370012494999284,"K74","icd3",6542,12
"cause_specific_icd3_K92","CS_ICD3_K92_M3_ic5",5076,4,-33.7881727273001,-9.36785687552607,86.7357137510521,0.998340915172598,0.00142221699535468,"K92","icd3",6542,5
"cause_specific_icd3_W01","CS_ICD3_W01_M3_ic5",5076,5,-41.3250005620129,-0.0299599458548983,68.0599198917098,1,0,"W01","icd3",6542,8
"cause_specific_icd3_W19","CS_ICD3_W19_M3_ic5",5076,3,-25.1930715239968,-9.15722975899428,86.3144595179886,0.996243425995492,0.00301150620514055,"W19","icd3",6542,5
"cause_specific_icd3_X80","CS_ICD3_X80_M3_ic5",5076,5,-42.2679782981072,-25.8566225480781,119.713245096156,0.986377181779481,0.00528202739068312,"X80","icd3",6542,7
"cause_specific_icd3_Y86","CS_ICD3_Y86_M3_ic5",5076,2,-16.7439301192016,-8.75335217642714e-08,68.000000175067,1,0,"Y86","icd3",6542,5
