"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent","cause_code","cause_level","n_valid_eventcoding","n_events_target.x","neg_log10_p","significant","cause_name","n_events_target.y"
"cause_specific_icd3_C50","CS_ICD3_C50_M3_ic5","ic5_per1lower",-0.254281454493871,0.17927461103914,-1.41839077502366,0.156076707400043,0.775473510823895,0.545717827937465,1.10195990529092,5076,14,"C50","icd3",6542,18,0.806661905409255,FALSE,"Breast cancer",18
"cause_specific_icd3_C56","CS_ICD3_C56_M3_ic5","ic5_per1lower",-0.383005324015173,0.32617800218875,-1.17422180970236,0.240306192443439,0.681809269313432,0.359765639521562,1.29212973295593,5076,5,"C56","icd3",6542,7,0.61923503772975,FALSE,"Ovarian cancer",7
"cause_specific_icd3_C61","CS_ICD3_C61_M3_ic5","ic5_per1lower",-0.26140070029274,0.321903941080369,-0.812045666217787,0.416765428414491,0.76997232965527,0.40970379512503,1.44703904501017,5076,8,"C61","icd3",6542,9,0.380108313872476,FALSE,"Prostate cancer",9
"cause_specific_icd3_C67","CS_ICD3_C67_M3_ic5","ic5_per1lower",0.164856716371339,0.316999495918302,0.520053560002589,0.603026245094024,1.17922414309173,0.633528128325401,2.19496107193553,5076,7,"C67","icd3",6542,8,0.219663785950276,FALSE,"Bladder cancer",8
"cause_specific_icd3_C90","CS_ICD3_C90_M3_ic5","ic5_per1lower",0.0733639256269965,0.27792377344123,0.263971393014028,0.79180196219832,1.07612209406935,0.624154927134317,1.85537069563979,5076,8,"C90","icd3",6542,8,0.101383426338743,FALSE,"Multiple myeloma",8
"cause_specific_icd3_C92","CS_ICD3_C92_M3_ic5","ic5_per1lower",-0.00653938854586916,0.393362193390343,-0.0166243443212143,0.986736303280824,0.993481946723536,0.459546511434726,2.14778342106027,5076,4,"C92","icd3",6542,6,0.00579889325861141,FALSE,"Myeloid leukemia",6
"cause_specific_icd3_E11","CS_ICD3_E11_M3_ic5","ic5_per1lower",0.318045312914385,0.189366171661797,1.67952549351003,0.0930496746683276,1.37443853963242,0.94827990351644,1.99211360719735,5076,20,"E11","icd3",6542,24,1.03128514096413,FALSE,"Type 2 diabetes mellitus",24
"cause_specific_icd3_E46","CS_ICD3_E46_M3_ic5","ic5_per1lower",0.95885027693689,0.27776746658871,3.45198913577831,0.000556470132069627,2.60869547124506,1.51351694655225,4.4963434847537,5076,5,"E46","icd3",6542,5,3.25455814098867,TRUE,"Malnutrition (unspecified)",5
"cause_specific_icd3_I10","CS_ICD3_I10_M3_ic5","ic5_per1lower",0.702272281579877,0.3398206701706,2.06659671769618,0.0387721703620042,2.01833372336202,1.03690053323751,3.92869989770491,5076,6,"I10","icd3",6542,7,1.41147988767321,TRUE,"Essential hypertension",7
"cause_specific_icd3_I11","CS_ICD3_I11_M3_ic5","ic5_per1lower",-0.01974315837447,0.303259068411943,-0.0651032744968113,0.948091773294502,0.980450461460805,0.541116863041689,1.77647967201615,5076,9,"I11","icd3",6542,13,0.0231496218324963,FALSE,"Hypertensive heart disease",13
"cause_specific_icd3_I21","CS_ICD3_I21_M3_ic5","ic5_per1lower",0.338777107095782,0.0918535294699646,3.68823178652661,0.000225817896494583,1.40323054022262,1.17204196576649,1.68002171127527,5076,77,"I21","icd3",6542,104,3.64624164238958,TRUE,"Acute myocardial infarction",104
"cause_specific_icd3_I24","CS_ICD3_I24_M3_ic5","ic5_per1lower",-3.90338015993253,58.2529706668834,-0.0670074009144324,0.946575811367032,0.0201736060543863,5.24523568596072e-52,7.75893411857301e+47,5076,3,"I24","icd3",6542,6,0.0238445976115731,FALSE,"Other acute ischemic heart disease",6
"cause_specific_icd3_I25","CS_ICD3_I25_M3_ic5","ic5_per1lower",0.266147384428082,0.0954545533067691,2.78821046464641,0.00530000994178793,1.30492737048889,1.08226914565508,1.57339368777842,5076,75,"I25","icd3",6542,92,2.27572331574646,TRUE,"Chronic ischemic heart disease",92
"cause_specific_icd3_I46","CS_ICD3_I46_M3_ic5","ic5_per1lower",0.584769819456377,0.251944361709119,2.32102760899059,0.0202853538184718,1.79457786118746,1.0952338963145,2.94047665133564,5076,6,"I46","icd3",6542,7,1.69281741290075,TRUE,"Cardiac arrest",7
"cause_specific_icd3_I60","CS_ICD3_I60_M3_ic5","ic5_per1lower",0.0399627458735733,0.265209510912592,0.150683683009937,0.880225245326236,1.04077200041847,0.618883430018644,1.75025910262685,5076,5,"I60","icd3",6542,5,0.0554061797986912,FALSE,"Subarachnoid hemorrhage",5
"cause_specific_icd3_I61","CS_ICD3_I61_M3_ic5","ic5_per1lower",0.262063871925544,0.168398347513116,1.55621403532557,0.119657204975187,1.29960954834279,0.934269046151269,1.80781433902957,5076,21,"I61","icd3",6542,35,0.92206114588667,FALSE,"Intracerebral hemorrhage",35
"cause_specific_icd3_I63","CS_ICD3_I63_M3_ic5","ic5_per1lower",0.402963177915936,0.126084228016688,3.19598402000449,0.0013935482962522,1.49625179553982,1.1686422817021,1.91570121217539,5076,43,"I63","icd3",6542,52,2.85587797533076,TRUE,"Cerebral infarction",52
"cause_specific_icd3_I64","CS_ICD3_I64_M3_ic5","ic5_per1lower",0.134048668299736,0.167662593411254,0.799514462781408,0.423992163859357,1.14344846798325,0.823193511663101,1.5882953162395,5076,11,"I64","icd3",6542,15,0.372642169879175,FALSE,"Stroke, unspecified type",15
"cause_specific_icd3_I67","CS_ICD3_I67_M3_ic5","ic5_per1lower",2.39603592047834,0.496769045898531,4.82323916971218,1.41245434684167e-06,10.979566127251,4.14700539366905,29.069379202331,5076,3,"I67","icd3",6542,5,5.85002558048917,TRUE,"Other cerebrovascular disease",5
"cause_specific_icd3_I69","CS_ICD3_I69_M3_ic5","ic5_per1lower",0.197444428967581,0.10992811865405,1.79612306100635,0.0724749475669891,1.21828536171316,0.982150499245878,1.51119326794028,5076,54,"I69","icd3",6542,63,1.13981209016925,FALSE,"Sequelae of cerebrovascular disease",63
"cause_specific_icd3_I71","CS_ICD3_I71_M3_ic5","ic5_per1lower",0.657775199828825,0.399177871897995,1.64782480727517,0.0993886268848817,1.93049259289164,0.882850808440895,4.22132665630218,5076,5,"I71","icd3",6542,6,1.00266330940279,FALSE,"Aortic aneurysm/dissection",6
"cause_specific_icd3_J15","CS_ICD3_J15_M3_ic5","ic5_per1lower",-0.0260389995688634,0.261961495161337,-0.0994001028770527,0.920820601085408,0.974297091701282,0.583054802949226,1.62807135469261,5076,6,"J15","icd3",6542,9,0.0358249730037745,FALSE,"Bacterial pneumonia",9
"cause_specific_icd3_J18","CS_ICD3_J18_M3_ic5","ic5_per1lower",0.244834720546062,0.106554755503425,2.29773621448733,0.0215768070759621,1.27741016610152,1.03664676270727,1.57409137920619,5076,57,"J18","icd3",6542,78,1.66601282155696,TRUE,"Pneumonia, unspecified organism",78
"cause_specific_icd3_J44","CS_ICD3_J44_M3_ic5","ic5_per1lower",0.221582606024321,0.156558227493784,1.41533670616652,0.156969797651532,1.24805034043946,0.918268101581382,1.69626893233971,5076,31,"J44","icd3",6542,39,0.804183901572191,FALSE,"COPD",39
"cause_specific_icd3_J98","CS_ICD3_J98_M3_ic5","ic5_per1lower",0.559184968925601,0.225495464892299,2.47980583198282,0.013145394429283,1.74924622911388,1.12436898836177,2.72140409575635,5076,7,"J98","icd3",6542,10,1.88122637829926,TRUE,"Other respiratory disorders",10
"cause_specific_icd3_K74","CS_ICD3_K74_M3_ic5","ic5_per1lower",0.154234219313593,0.234892401753849,0.656616468485088,0.511427556987256,1.16676413347183,0.736278799460767,1.84894437291048,5076,11,"K74","icd3",6542,12,0.291215874813656,FALSE,"Fibrosis/cirrhosis of liver",12
"cause_specific_icd3_K92","CS_ICD3_K92_M3_ic5","ic5_per1lower",1.42567499721298,0.433577924638478,3.28816324862878,0.00100843346146712,4.16066533262917,1.7786913200197,9.73251278358435,5076,4,"K92","icd3",6542,5,2.99635275215721,TRUE,"Other digestive system diseases",5
"cause_specific_icd3_W01","CS_ICD3_W01_M3_ic5","ic5_per1lower",-18.4580741732674,2.59051611024931,-7.12524971384601,1.03892157782522e-12,9.63297071479549e-09,6.00770956675734e-11,1.54458406753829e-06,5076,5,"W01","icd3",6542,8,11.9834172335816,TRUE,"Fall from slipping/tripping (same level)",8
"cause_specific_icd3_W19","CS_ICD3_W19_M3_ic5","ic5_per1lower",0.656542463512079,0.352783861123402,1.8610331590039,0.0627394941964082,1.92811427078637,0.965700824121485,3.84966497734125,5076,3,"W19","icd3",6542,5,1.20245898689097,FALSE,"Unspecified fall",5
"cause_specific_icd3_X80","CS_ICD3_X80_M3_ic5","ic5_per1lower",-0.579483464603918,0.316750674700316,-1.82946244756125,0.0673303599582467,0.560187648595714,0.301102849744069,1.04220269554382,5076,5,"X80","icd3",6542,7,1.17178906372213,FALSE,"Intentional self-harm by jumping",7
"cause_specific_icd3_Y86","CS_ICD3_Y86_M3_ic5","ic5_per1lower",12.3521870801527,3703.08779397426,0.00333564521485351,0.997338545118213,231465.72378739,0,Inf,5076,2,"Y86","icd3",6542,5,0.00115739603175083,FALSE,"Sequelae of external causes",5
